"date","temperature","humidity","windspeed","wind_direction","visibility","precipitation","sun","windspeed_max","precip_indic","precip_type"
2022-08-04,30.3277777777778,39.2777777777778,2.16111111111111,227.222222222222,55382.2222222222,0,784,6.8,0,0
2022-08-05,26.4666666666667,50.7222222222222,3.40555555555556,249.444444444444,57230.5555555556,0.1,422,12.1,0,0
2022-08-06,22.3,40.9444444444444,4.90555555555556,78.8888888888889,69862.7777777778,0,774,10.6,0,0
2022-08-07,22.9055555555556,35.1111111111111,4.63888888888889,38.8888888888889,63245,0,823,11.1,0,0
2022-08-08,24.2722222222222,36.1111111111111,3.65555555555556,33.8888888888889,70693.8888888889,0,818,10.5,0,0
2022-08-09,25.7166666666667,34,4.33888888888889,46.6666666666667,59131.1111111111,0,812,11.3,0,0
2022-08-10,26.0666666666667,31.2777777777778,4.99444444444444,52.2222222222222,59953.8888888889,0,803,14.6,0,0
2022-08-11,25.6777777777778,31.9444444444444,4.52222222222222,55.5555555555556,63970.5555555556,0,782,12,0,0
2022-08-12,25.3888888888889,31.7222222222222,4.41111111111111,56.6666666666667,60022.2222222222,0,801,11.8,0,0
2022-08-13,25.1944444444444,35.6666666666667,3.77222222222222,50,64222.2222222222,0,804,13.3,0,0
2022-08-14,25.9944444444444,36.8888888888889,3.68333333333333,147.777777777778,62651.6666666667,0,592,11.7,0,0
2022-08-15,22.0388888888889,61.9444444444444,4.81666666666667,240,61334.4444444444,0,381,12.9,0,0
2022-08-16,24.2611111111111,53.4444444444444,2.1,217.222222222222,54325.5555555556,0,685,7.3,0,0
2022-08-17,22.9555555555556,62.7777777777778,2.2,206.666666666667,47710,0.4,181,8.8,0,0
2022-08-18,21.5222222222222,72.9444444444444,2.71666666666667,248.333333333333,37393.3333333333,0.6,198,7.3,0,0
2022-08-19,24.5777777777778,56.1111111111111,2.78888888888889,268.333333333333,40823.8888888889,0,223,8.2,0,0
2022-08-20,23.2777777777778,55.4444444444444,4.35555555555556,234.444444444444,63601.1111111111,0.3,426,10.5,0,0
2022-08-21,21.8833333333333,47.2777777777778,1.66111111111111,235.555555555556,54742.2222222222,0,736,6.5,0,0
2022-08-22,23.9388888888889,40.5,2.06111111111111,158.333333333333,58105,0,714,9.4,0,0
2022-08-23,24.55,44.1111111111111,1.96111111111111,223.333333333333,54415.5555555556,0,756,7.4,0,0
2022-08-24,25.1944444444444,42.4444444444444,3.19444444444444,70,54300.5555555556,0,738,11.6,0,0
2022-08-25,26.5722222222222,46.5,3.41111111111111,52.2222222222222,56018.3333333333,0,755,10.2,0,0
2022-08-26,23.6611111111111,60.8333333333333,2.53888888888889,211.111111111111,42905.5555555556,6.6,418,10.2,0,0
2022-08-27,20.1,88.3888888888889,1.19444444444444,210,9372.77777777778,14.4,153,6.3,0.5,3
2022-08-28,22.0333333333333,65.9444444444444,3.08333333333333,32.2222222222222,46531.1111111111,0,456,7.2,0,0
2022-08-29,22.5055555555556,52.3333333333333,4.09444444444444,39.4444444444444,53759.4444444444,0,731,9,0,0
2022-08-30,24.8777777777778,47.2777777777778,4.03333333333333,39.4444444444444,54487.2222222222,0,630,8.7,0,0
2022-08-31,19.1111111111111,86.2777777777778,2.07777777777778,84.4444444444444,26648.8888888889,4.9,4,6.4,0.5,3
2022-09-01,20.0111111111111,65.6111111111111,3.71111111111111,64.4444444444444,49520,0,647,9.2,0,0
2022-09-02,21.0166666666667,49.9444444444444,4,61.6666666666667,65542.7777777778,0,656,10.3,0,0
2022-09-03,19.0166666666667,78.1666666666667,2.11111111111111,192.777777777778,55020.5555555556,3.4,223,9.8,1,6
2022-09-04,21.0555555555556,63.9444444444444,1.57777777777778,207.777777777778,58388.3333333333,0,704,6.9,0,0
2022-09-05,22.3222222222222,61.3333333333333,1.08888888888889,209.444444444444,54910.5555555556,0,584,4.9,0,0
2022-09-06,23.0777777777778,68.1666666666667,2.27222222222222,189.444444444444,46436.6666666667,0.2,584,8.2,0,0
2022-09-07,22.7055555555556,65.7222222222222,3.12222222222222,237.222222222222,54517.7777777778,0.6,482,8.3,0,0
2022-09-08,18.5111111111111,73.7777777777778,4.14444444444444,230,61212.2222222222,3,167,11.9,0,0
2022-09-09,17.65,76.3888888888889,3.81666666666667,218.333333333333,56775,5,163,12.8,1,5
2022-09-10,16.8666666666667,79.4444444444444,5.72777777777778,234.444444444444,62722.7777777778,1,68,12.6,1,6
2022-09-11,18.6666666666667,73.6111111111111,3.03888888888889,205.555555555556,50450.5555555556,0,364,8.6,0,0
2022-09-12,18.6833333333333,67.9444444444444,1.41111111111111,262.222222222222,43656.1111111111,0,691,5.5,0,0
2022-09-13,20.2611111111111,65.5555555555556,1.91666666666667,141.666666666667,54787.2222222222,0,266,5.8,0,0
2022-09-14,19.9222222222222,86.9444444444444,4.01111111111111,232.777777777778,36228.3333333333,47.4,198,21.6,0.5,2
2022-09-15,16.8277777777778,84.5555555555556,3.72777777777778,207.777777777778,47090.5555555556,27.3,158,9.5,0,0
2022-09-16,14.7055555555556,76.2222222222222,3.11666666666667,240,44296.6666666667,1.4,133,10.6,1,6
2022-09-17,11.9722222222222,76.8333333333333,4.26111111111111,247.777777777778,56893.3333333333,6.8,126,11.5,0,0
2022-09-18,13.3666666666667,65.0555555555556,6.52777777777778,241.666666666667,60579.4444444444,0,91,14.7,0,0
2022-09-19,12.3611111111111,75.0555555555556,3.56111111111111,228.888888888889,56214.4444444444,0,215,7.4,0,0
2022-09-20,12.4222222222222,71.0555555555556,1.94444444444444,227.777777777778,53099.4444444444,0,283,5.1,0,0
2022-09-21,11.95,70.3888888888889,3.12222222222222,47.7777777777778,54065.5555555556,0,629,10.2,0,0
2022-09-22,13.2111111111111,62.6666666666667,3.40555555555556,50,60770.5555555556,0,670,9.5,0,0
2022-09-23,12.8666666666667,71.8888888888889,1.55555555555556,193.888888888889,45900.5555555556,0,413,6.5,0,0
2022-09-24,13.9388888888889,84.4444444444444,1.26111111111111,190.555555555556,35692.2222222222,0.4,24,5.3,0.5,3
2022-09-25,13.3388888888889,89.3888888888889,1.84444444444444,257.222222222222,20603.3333333333,3.5,15,7.3,0.5,3
2022-09-26,12.5444444444444,80.8333333333333,4.91666666666667,227.777777777778,41132.7777777778,10.3,231,13.1,0,0
2022-09-27,10.2111111111111,85,5.64444444444444,233.333333333333,45739.4444444444,7,41,11.7,1,4
2022-09-28,11.45,81.5555555555556,3.82222222222222,237.222222222222,42128.8888888889,8.3,234,10.9,0.5,3
2022-09-29,10.5111111111111,82.2222222222222,1.42222222222222,150,42201.6666666667,0.5,155,6.3,0,0
2022-09-30,11.8333333333333,80.6111111111111,1.36111111111111,189.444444444444,31430,0,357,3.7,0,0
2022-10-01,12.6,82.8888888888889,7.22777777777778,223.888888888889,46056.6666666667,6.4,0,14.4,1,6
2022-10-02,13.45,94.2222222222222,2.02222222222222,200.555555555556,19507.7777777778,27.6,0,7.3,1,6
2022-10-03,12.55,82.1111111111111,1.71666666666667,90.5555555555556,29172.7777777778,0,412,5.1,0,0
2022-10-04,11.1111111111111,84.0555555555556,0.927777777777778,187.777777777778,20507.7777777778,0,414,2.8,0,0
2022-10-05,15.6277777777778,77.5555555555556,2.76111111111111,213.333333333333,35350.5555555556,0,522,9.2,0,0
2022-10-06,15.8666666666667,73.7222222222222,1.87222222222222,221.111111111111,46911.1111111111,0,223,5.5,0,0
2022-10-07,14.7111111111111,75.8888888888889,1.63888888888889,120.555555555556,42476.6666666667,0,399,5.2,0,0
2022-10-08,14.8388888888889,75.1111111111111,2.36666666666667,242.777777777778,42117.7777777778,0,355,7.3,0,0
2022-10-09,12.85,70.5,3.81666666666667,56.6666666666667,40058.8888888889,0,603,9.7,0,0
2022-10-10,15.55,75.6666666666667,1.96666666666667,187.222222222222,38432.7777777778,0,511,7.9,0,0
2022-10-11,14.0277777777778,75,3.52777777777778,26.6666666666667,38185,0,41,7.4,0,0
2022-10-12,13.2166666666667,77.9444444444444,1.45,140.555555555556,30681.6666666667,0,518,5,0,0
2022-10-13,13.3222222222222,87,1.56666666666667,214.444444444444,17497.7777777778,0,7,5,0,0
2022-10-14,14.8,87.9444444444444,2.14444444444444,172.777777777778,30738.8888888889,0.6,0,10,0,6
2022-10-15,16.6388888888889,88.8333333333333,4.94444444444444,211.666666666667,47626.6666666667,0,0,11.6,0.5,6
2022-10-16,17.5166666666667,84.3888888888889,1.33888888888889,155.555555555556,47235,0,116,4.3,0,0
2022-10-17,17.0277777777778,80.8333333333333,1.55555555555556,197.777777777778,36664.4444444444,0,543,6,0,0
2022-10-18,17.6833333333333,82.7777777777778,1.88333333333333,208.888888888889,41834.4444444444,0.2,124,6.5,0,0
2022-10-19,15.7888888888889,86.2777777777778,4.4,51.1111111111111,28930,0,286,10.6,0,0
